gemini_intent,tweet_id,text,reference_reply_clean,gemini_reason,gold_intent,gold_escalate
playlist,648658,you deleted your reply? I'm on Android version 7 and 8.4.28.875 and it's driving me crazy that I can't edit playlists. But also you've got a bug in the browser menu that makes the d in discover sometimes lowercase,"Thanks for that information. Does logging out, restarting your device, and logging back into Spotify help with the browser menu? Also, we have some more info on editing playlists for you here: Let us know how you get on /JI",User reports trouble editing playlists on Android app.,playlist,no
song_unavailable,2981117,y’all need to go bug and get “Officially Yours” added to the library ASAP,"Hey Chris! Fingers crossed we'll be able to have it soon, but there's more info about Spotify content here: /CH",User requesting a specific song to be added.,song_unavailable,no
playback,186494,Turned this computer off for the night and relogged today to the same problem. Song I click on plays the same wrong song,Alright. Can you DM us your account's email address? We'll take a look backstage /DV,"Clicking a song plays the wrong track, playback issue.",playback,no
device_platform,729278,"hi, images don't render on app. S7 edge, should I reinstall?","Hey Danny, help's here! Can you let us know the Android and Spotify versions you're using? We'll see what we can suggest /RS",Images not rendering properly on Samsung S7 edge device.,device_platform,no
app_ui_feature,1157898,"Thanks, I already got through the process successfully. It's just that there""loading"" circle shouldn't be there","We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. Give us a shout if you need a hand with anything else /MG",Feedback regarding UI loading circle behavior.,app_ui_feature,no
app_ui_feature,2295547,"hey Spotify where's the button to see my queue gone? iOS 10, iPhone 6S, latest app version",Hey! Help's here. Can you DM us your account's email address? We'll see what we can suggest /RA,User asking about the location of the queue button.,app_ui_feature,no
playback,1788392,Why did think it was a good idea to play ads simultaneously to the music you're listening on. It's so annoying!?!!,"Hey, help's here! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /MG",Ads playing simultaneously with music is a playback glitch.,playback,no
other,2065606,Any update on this?,Hey! We still don't have any info on this right now. Just continue keeping an eye out for any updates /RB,Lacks sufficient context to determine the specific problem.,other,no
billing_subscription,836715,My account name is tcmchiu I would like to keep only family plan which is HK$ 88 per month.,Hi! We've just sent a DM your way. Let's carry on chatting there /RA,User wants to manage subscription plan and billing amount.,billing_subscription,no
account_login,2818182,"Hi, my account has been hacked - email address and password changed. I need to revert this back ASAP. I received the email about the change 1 hour ago","Hey there, we’re sorry to hear that. Check out for what to do next /NQ","Account hacked with credentials changed, requires urgent intervention.",account_login,yes
billing_subscription,2824408,"(wrong poll), but thanks for the try. I can't seem to add my vote to the ∞ already received - I'd also like to be able to manage it from the family account instead of the app..",We hear you! We're passing on all feedback around this – thanks for sharing your thoughts /JK,User discussing family account management and voting.,billing_subscription,no
playback,190058,"No, that didn't work. Still crashes the app.",Best thing to try here is a reinstall. Just follow the steps at Feel free to keep us posted /AU,App crashes continuously during usage.,playback,no
account_login,2479177,SOS SOMEONE HAS BEEN ON MY ACCOUNT? IDK WHERE THIS FRENCH MUSIC CAME FROM BUT IT'S NOT ME,"Hey, that doesn't sound right! Can you DM us your account's username or email address? We'll take a look backstage /JP","Unauthorized access suspected, potential hacked account.",account_login,yes
other,378050,That worked! Thank you!,"Awesome! You're welcome. If you need anything else, just give us a shout /RA",User expressing gratitude after a successful fix.,other,no
account_login,1973014,"I️ have a student premium subscription and I️ tried logging into Hulu, but it says “we’re having trouble authorizing your account with Spotify”",Hey! That doesn't sound good. Could you DM us your account's email address and a screenshot of the exact error message you're getting? /AU,Trouble authorizing student premium and Hulu account link.,billing_subscription,yes
device_platform,573182,"It's my work computer, and I'm at home now, but I think it's Windows 10. I tried deleting all the Spotify files and all that, but it still gave me an error message.","Got it. Just to make sure, have you tried running the Spotify desktop app on your work computer as an administrator? Just right-click Spotify and click ""Run as administrator"". Keep us posted /MT",Installation or error issues specific to Windows 10 computer.,device_platform,no
downloads_offline,1074216,It's only works for few days... Then happen again right now... It's start annoying and wasted my data download any song again and again....,We've just replied to your DM. Let's carry on chatting out there /MU,Complains about data waste due to repeated song downloads.,downloads_offline,no
song_unavailable,1761826,"IK this is about rights and shit. but let's be real, how about you CHECK to see if it is ok in ALL regions, then add it. That sound good?",2: have it available again soon! We have more info here: /JU,Complains about region-locked content availability.,song_unavailable,no
app_ui_feature,1874892,how come I shuffle this album and it plays something completely unrelated?,"Hey Niall, help's here! Could you DM us with your account's username and email address? We'll take a look /TB",Issues with shuffle behavior playing unrelated tracks.,app_ui_feature,no
other,1850456,. Perhaps you can help with this?,"Hey, help's here! Just to check, do you have the latest firmware on your Savant app and your Spotify app? /JS",Too vague without context or actionable target.,other,no
other,1162337,"Omg! Thnx for your reply, hope it's sooner rather than later😿 give us some help! 😊",You're welcome! Let us know if we can help you with anything else /BM,Friendly conversation with no specific support issue.,other,no
app_ui_feature,1246496,You’ve had Android Wear since June 2015,We hear you. We'll make sure your feedback will be passed on to the relevant team. Let us know if you need anything else /NS,Feature or platform availability feedback about Android Wear.,app_ui_feature,no
account_login,265452,I recently got logged out of my account. The username to this account is kiyasayeed. I can’t tweet so many words.Pleasecontact,"Hey Kiya, help's here! Can you DM us your account's email address? We'll take a look backstage /RH",User got logged out and needs account access help.,account_login,no
other,1675007,Ors résolve thx,"We can help out in English, but we also have French support via email at Is everything cool on your end? /DV",Fragmented or uncontextualized resolution thanks.,other,no
playback,859145,"your web player doesn't PLAY. Chrome browser cleared cache, cookies, history, etc. It loads, but won't play =\","Hey there! That's not cool. Just to check, are you getting any error messages? If so, could you send us a screenshot? /GU",Web player loads but fails to play music.,playback,no
device_platform,2153125,Swip down does nothing no symbol as show in guide. 8.4.26.770 armV7. Andriod 7.0 Note 5,Thanks for letting us know. Can you try logging out &gt; restarting your phone &gt; logging back in? See if that makes a difference /RH,UI swipe gesture failure specifically on Android 7 Note 5.,device_platform,no
account_login,2422803,"How do I disconnect a device from Spotify Connect?? There's a random person's iPhone that has started coming up under my ""available devices."" I have no idea who this is and want them off of my account. Help!","Hey Jessica, help's here! Can you DM us your account's email address? We'll take a look backstage /SJ",Unauthorized device access suggests security issue needing escalation.,account_login,yes
device_platform,64394,So 20 minutes after reinstallation data is synced but all my artists now say '0 songs'.,That's weird! Can you send your account's username or email address? We'll take a look backstage /PL,Sync error after reinstallation showing zero songs.,device_platform,no
app_ui_feature,497737,"Don’t consider it, please just do it! Imagine watching a movie with no end credits—that would never fly in the film industry. Unfortunately we don’t have the industry-wide structures for enforcement, so someone needs to be a leader. Why not have it be ?","Hey Andy, we hear you! We recommend sharing your support for this idea by voting for it in our community: /TB",General feature request or industry feedback.,app_ui_feature,no
device_platform,1670607,"Hey, It is spotify version 1.0.65.320.gac7a8e02 and Windows 10 as OS.",Thanks. Does logging out and restarting your device help? Let us know how it goes /RC,Providing app version and Windows 10 OS details.,device_platform,no
other,695450,Been listening to my 'Time Capsule' playlist all evening. So good. 👌🏻,"Thanks! We're glad you like it as much as we do, Ian. That's music to our ears 🎶 /WW",Praise for the playlist.,other,no
other,2774549,"Hi, I've sent you a DM, if you could respond that'd be great thanks",Hey there! We've just sent you a bit more info over DM. We'll carry on helping out there /JM,Direct message follow-up request with no issue specified.,other,no
other,2608271,THANK YOU,"No trouble at all! If you need anything else, just pop a message over. We're here around the clock 🙂 /BH",Expression of gratitude.,other,no
song_unavailable,2139037,im in the usa! the artist name is btob and the album name is complete every other album the artist has came out with is on spotify except for this one.,"Thanks! We’d love to have all of their stuff available, but we have some info about content here: /NH",Specific artist album missing despite being in the US.,song_unavailable,no
billing_subscription,1036091,"hey man, hoe krijg ik spotify premium voor studenten voor 5 euro per maand? (Betaal nu 10)","Hey Robin! We can help out in English via Twitter, but we also have Dutch support via email at /FR",Inquiring about student discount subscription price change.,billing_subscription,no
